Source,Target,weight
Illyrio Mopatis,Yezzan zo Qaggaz,1
Jacelyn Bywater,Parmen Crane,1
Jacelyn Bywater,Jon Snow,1
Jacelyn Bywater,Joffrey Baratheon,1
Ilyn Payne,Wylis Manderly,1
Ilyn Payne,Tytos Brax,1
Ilyn Payne,Shagwell,1
Ilyn Payne,Sansa Stark,1
Ilyn Payne,Samwell Tarly,1
Ilyn Payne,Rennifer Longwaters,1
Ilyn Payne,Philip Plumm,1
Ilyn Payne,Obara Sand,1
Ilyn Payne,Lyle Crakehall,1
Ilyn Payne,Jaime Lannister,1
High Sparrow,Samwell Tarly,1
High Sparrow,Podrick Payne,1
High Sparrow,Nymeria Sand,1
Godry Farring,Mance Rayder,1
Gretchel,Sansa Stark,1
Gretchel,Samwell Tarly,1
Gretchel,Oswell Kettleblack,1
Gretchel,Mord,1
Gretchel,Jaime Lannister,1
Goghor the Giant,Selyse Florent,1
Goghor the Giant,Quentyn Martell,1
